TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
House for sale,575000,2,1,900,40.580913,-73.830201
Multi-family home for sale,849000,4,2,2180,40.852813,-73.831224
House for sale,875000,2,2,1214,40.756547,-73.733972
House for sale,599999,3,2,1360,40.613911,-74.133028
Multi-family home for sale,1295000,4,3,2440,40.78403,-73.80579
House for sale,250000,3,1,1376,40.621217,-73.932434
Townhouse for sale,1648000,3,4,1751,40.717952,-73.842778
House for sale,950000,3,2,1748,40.718899,-73.858799
Condo for sale,399000,3,1,500,40.837491,-73.945604
Co-op for sale,209000,1,1,1078,40.891596,-73.898983
Co-op for sale,280000,3,2,1100,40.840974,-73.845625
Multi-family home for sale,924800,4,3,2049,40.507545,-74.246109
House for sale,1300000,6,4,2112,40.764512,-73.75953
Multi-family home for sale,995000,5,2,2288,40.55014,-74.181038
Townhouse for sale,695000,3,2,1793,40.576391,-74.163138
Townhouse for sale,695000,3,2,1793,40.576391,-74.163138
Multi-family home for sale,998000,5,3,1738,40.689803,-73.836542
Multi-family home for sale,899000,7,3,1980,40.627518,-74.123377
House for sale,520000,4,2,1701,40.678142,-73.925058
Co-op for sale,215000,3,1,1100,40.622324,-73.969507
Multi-family home for sale,1288000,6,5,2640,40.529459,-74.190302
Co-op for sale,270000,2,2,900,40.756279,-73.875805
Co-op for sale,375000,2,2,1200,40.887653,-73.909649
House for sale,5500000,8,6,9000,40.898508,-73.902753
House for sale,699000,3,2,2350,40.609586,-73.925316
House for sale,739000,3,1,1148,40.738682,-73.720272
Multi-family home for sale,425000,3,2,1700,40.881794,-73.861777
Co-op for sale,300000,2,1,900,40.647939,-74.08527
House for sale,569000,3,3,1780,40.814782,-73.826525
House for sale,789000,5,3,1273,40.70845,-73.731627
Co-op for sale,350000,2,1,825,40.711175,-73.957086
Townhouse for sale,1499999,4,2,2264,40.608706,-73.929072
House for sale,924900,3,2,1404,40.609435,-73.977734
Multi-family home for sale,1998000,12,8,5100,40.574518,-74.00683
Multi-family home for sale,925000,4,2,2160,40.86166,-73.842102
Condo for sale,699000,2,2,833,40.787339,-73.779469
House for sale,900000,4,4,2700,40.61103,-73.819506
Co-op for sale,369000,1,1,1470,40.575636,-73.84232
House for sale,609000,3,2,1620,40.816584,-73.8007
Condo for sale,758000,3,2,1278,40.792882,-73.844921
